Customer,xPos,yPos,Demand,Ready Time,Due Date,Service Time
1.0,40.0,50.0,0.0,0.0,1236.0,0.0
2.0,45.0,68.0,10.0,830.0,1049.0,90.0
3.0,45.0,70.0,30.0,756.0,939.0,90.0
4.0,42.0,66.0,10.0,16.0,336.0,90.0
5.0,42.0,68.0,10.0,643.0,866.0,90.0
6.0,42.0,65.0,10.0,15.0,226.0,90.0
7.0,40.0,69.0,20.0,499.0,824.0,90.0
8.0,40.0,66.0,20.0,87.0,308.0,90.0
9.0,38.0,68.0,20.0,150.0,429.0,90.0
10.0,38.0,70.0,10.0,429.0,710.0,90.0
11.0,35.0,66.0,10.0,279.0,488.0,90.0
12.0,35.0,69.0,10.0,363.0,590.0,90.0
13.0,25.0,85.0,20.0,547.0,826.0,90.0
14.0,22.0,75.0,30.0,30.0,280.0,90.0
15.0,22.0,85.0,10.0,489.0,698.0,90.0
16.0,20.0,80.0,40.0,318.0,495.0,90.0
17.0,20.0,85.0,40.0,394.0,609.0,90.0
18.0,18.0,75.0,20.0,33.0,226.0,90.0
19.0,15.0,75.0,20.0,68.0,365.0,90.0
20.0,15.0,80.0,10.0,176.0,447.0,90.0
21.0,30.0,50.0,10.0,10.0,265.0,90.0
22.0,30.0,52.0,20.0,836.0,1043.0,90.0
23.0,28.0,52.0,20.0,704.0,991.0,90.0
24.0,28.0,55.0,10.0,664.0,845.0,90.0
25.0,25.0,50.0,10.0,15.0,333.0,90.0
26.0,25.0,52.0,40.0,88.0,305.0,90.0
27.0,25.0,55.0,10.0,502.0,821.0,90.0
28.0,23.0,52.0,10.0,179.0,398.0,90.0
29.0,23.0,55.0,20.0,476.0,663.0,90.0
30.0,20.0,50.0,10.0,288.0,475.0,90.0
31.0,20.0,55.0,10.0,368.0,585.0,90.0
32.0,10.0,35.0,20.0,144.0,293.0,90.0
33.0,10.0,40.0,30.0,31.0,309.0,90.0
34.0,8.0,40.0,40.0,33.0,313.0,90.0
35.0,8.0,45.0,20.0,655.0,912.0,90.0
36.0,5.0,35.0,10.0,191.0,436.0,90.0
37.0,5.0,45.0,10.0,588.0,793.0,90.0
38.0,2.0,40.0,20.0,305.0,512.0,90.0
39.0,0.0,40.0,30.0,414.0,587.0,90.0
40.0,0.0,45.0,20.0,481.0,710.0,90.0
41.0,35.0,30.0,10.0,180.0,405.0,90.0
42.0,35.0,32.0,10.0,63.0,338.0,90.0
43.0,33.0,32.0,20.0,19.0,345.0,90.0
44.0,33.0,35.0,10.0,16.0,273.0,90.0
45.0,32.0,30.0,10.0,278.0,493.0,90.0
46.0,30.0,30.0,10.0,453.0,688.0,90.0
47.0,30.0,32.0,30.0,355.0,602.0,90.0
48.0,30.0,35.0,10.0,837.0,1127.0,90.0
49.0,28.0,30.0,10.0,539.0,786.0,90.0
50.0,28.0,35.0,10.0,867.0,1126.0,90.0
51.0,26.0,32.0,10.0,719.0,976.0,90.0
52.0,25.0,30.0,10.0,635.0,876.0,90.0
53.0,25.0,35.0,10.0,825.0,1056.0,90.0
54.0,44.0,5.0,20.0,193.0,440.0,90.0
55.0,42.0,10.0,40.0,78.0,365.0,90.0
56.0,42.0,15.0,10.0,35.0,287.0,90.0
57.0,40.0,5.0,30.0,308.0,513.0,90.0
58.0,40.0,15.0,40.0,35.0,246.0,90.0
59.0,38.0,5.0,30.0,376.0,629.0,90.0
60.0,38.0,15.0,10.0,519.0,872.0,90.0
61.0,35.0,5.0,20.0,463.0,728.0,90.0
62.0,50.0,30.0,10.0,412.0,729.0,90.0
63.0,50.0,35.0,20.0,181.0,398.0,90.0
64.0,50.0,40.0,50.0,100.0,289.0,90.0
65.0,48.0,30.0,10.0,539.0,786.0,90.0
66.0,48.0,40.0,10.0,12.0,223.0,90.0
67.0,47.0,35.0,10.0,753.0,948.0,90.0
68.0,47.0,40.0,10.0,12.0,275.0,90.0
69.0,45.0,30.0,10.0,669.0,842.0,90.0
70.0,45.0,35.0,10.0,836.0,1049.0,90.0
71.0,95.0,30.0,30.0,284.0,559.0,90.0
72.0,95.0,35.0,20.0,194.0,459.0,90.0
73.0,53.0,30.0,10.0,367.0,588.0,90.0
74.0,92.0,30.0,10.0,370.0,659.0,90.0
75.0,53.0,35.0,50.0,263.0,502.0,90.0
76.0,45.0,65.0,20.0,847.0,1130.0,90.0
77.0,90.0,35.0,10.0,119.0,344.0,90.0
78.0,88.0,30.0,10.0,469.0,748.0,90.0
79.0,88.0,35.0,20.0,50.0,295.0,90.0
80.0,87.0,30.0,10.0,573.0,826.0,90.0
81.0,85.0,25.0,10.0,694.0,895.0,90.0
82.0,85.0,35.0,30.0,47.0,356.0,90.0
83.0,75.0,55.0,20.0,293.0,496.0,90.0
84.0,72.0,55.0,10.0,154.0,449.0,90.0
85.0,70.0,58.0,20.0,360.0,621.0,90.0
86.0,68.0,60.0,30.0,470.0,697.0,90.0
87.0,66.0,55.0,10.0,76.0,335.0,90.0
88.0,65.0,55.0,20.0,25.0,260.0,90.0
89.0,65.0,60.0,30.0,551.0,802.0,90.0
90.0,63.0,58.0,10.0,640.0,899.0,90.0
91.0,60.0,55.0,10.0,20.0,276.0,90.0
92.0,60.0,60.0,10.0,756.0,969.0,90.0
93.0,67.0,85.0,20.0,257.0,552.0,90.0
94.0,65.0,85.0,40.0,409.0,584.0,90.0
95.0,65.0,82.0,10.0,209.0,412.0,90.0
96.0,62.0,80.0,30.0,130.0,305.0,90.0
97.0,60.0,80.0,10.0,36.0,283.0,90.0
98.0,60.0,85.0,30.0,470.0,713.0,90.0
99.0,58.0,75.0,20.0,30.0,248.0,90.0
100.0,55.0,80.0,10.0,628.0,935.0,90.0
101.0,55.0,85.0,20.0,530.0,843.0,90.0
